Name,Topics,Framework,Form,Notes,Due At,Difficulty,Link,Created time,Mistakes,Source
Count the Pairs,"Arrays, Two Pointers","  1. Sort the array 
  2. Use two pointers or upper/lower bound to get number of elements","Atomic Contribution, Two Pointers, Upper/Lower Bound","The observation is:
For every element A[i], count how many indices j can pair with it such that:
A[i] + A[j] ≤ X
So instead of thinking:
Check every pair (i, j)
you think:
How many valid partners does A[i] contribute to?","June 5, 2026",Medium,https://maang.in/problems/Count-the-Pairs-396?resourceUrl=pl3446-rs396&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 27, 2026 10:04 AM",,
Interesting Game,"Arrays, Greedy","  1. Create a pair and sort on the basis of sum of pair elements",Greedy,,"June 19, 2026",Medium,https://maang.in/problems/Interesting-Game-76?resourceUrl=pl3446-rs76&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"April 28, 2026 9:34 AM",,
"Count unique char in String ",Arrays,"  1. for every index store the next and prev occurence of the character at index",Atomic Contribution,"For substring/subarray problems where the answer is additive in nature (total sum/count over all intervals), think in terms of element contribution instead of enumerating intervals.
Fix an index i and ask:
How many intervals does this index contribute to?
In this problem, s[i] contributes only in substrings where it is the unique occurrence of that character, which reduces the problem to finding valid left and right boundaries around i.","May 26, 2026",Hard,https://maang.in/problems/Count-Unique-Char-in-Substrings-63?resourceUrl=pl4655-rs63&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 1, 2026 7:53 PM",,
Minimise the Dot,Greedy,,Greedy,"  1. Int x Int multiplication overflows before assignment to long","June 23, 2026",Easy,https://maang.in/problems/Minimizing-Dot-Problem-96?resourceUrl=pl4961-rs96&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 4, 2026 9:50 AM",,
Max Points on Line,Greedy,"  1. use gcd to get reduced fractions
  2. make a map of slope to frequency",Greedy,"  1. using array or pair to store fractions
  2. using string notation to store in map","May 28, 2026",Hard,https://leetcode.com/problems/max-points-on-a-line/description/,"May 5, 2026 9:35 AM",,
Fibonacci Breakdown,Greedy,"  1. Find the largest fib number < k 
  2. subtract from k and repeat",Greedy,"Every number can be written as a sum of non-consecutive Fibonacci numbers, uniquely.","June 4, 2026",Medium,"https://maang.in/problems/Fibonacci-Breakdown-224?resourceUrl=pl4957-rs224&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]","May 5, 2026 9:59 AM",,
Fast Solving,Arrays,"  1. first sweep from left to right 
  2. then sweep from right to left using the max operator.",Greedy,"The important pattern is:
Local dependency constraints+Need globally minimum sum
This often suggests:
Greedily assign the minimum feasible value.
Then another observation appears:
Each index depends on both left and right neighbors.
A single traversal cannot satisfy both independently.
So split constraints into:
• left-to-right dependencies
• right-to-left dependencies
and combine them.","June 9, 2026",Medium,"https://maang.in/problems/Fast-Solving-225?resourceUrl=pl4958-rs225&returnUrl=[""/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments""]","May 5, 2026 11:10 PM",,
Make it Smooth,Arrays,"  1. sweep from right to left , for the first elem of increasing sub array, make it = to the previous elem",Sweep Line,"The key observation is:
An operation can increase an entire non-decreasing segment together.
So the only “bad places” are where:
A[i] < A[i-1]
because those positions violate the final non-decreasing condition.
Now think locally.
If: A[i-1] - A[i] = d
then A[i] needs at least d extra increments.","June 11, 2026",Medium,https://maang.in/problems/Make-it-smooth-222?resourceUrl=pl4958-rs222&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"May 6, 2026 10:39 PM",,
Shortest Route I,Graphs,Graph → Weighted Directed Graph → Single-Source Shortest Path → Min-Heap,"BFS, Dijkstras, Single Source Shortest Path (SSSP)",,"August 23, 2026",Medium,https://maang.in/problems/Shortest-Path-I-207?resourceUrl=pl3594-rs207&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 9, 2026 10:12 PM",,AlgoZenith
Burn Them All,Graphs,"Run Dijkstra from the source to get earliest fire-arrival time dist[u] for every node.For every edge (u, v, w), calculate when the entire edge burns.
Take the maximum edge-burning time.","BFS, Dijkstras, Single Source Shortest Path (SSSP)","if |dist[u] - dist[v]| >= w, the earlier fire burns the whole edge: min(dist[u], dist[v]) + w.
Otherwise, fires approach each other from both ends, so finish time is (dist[u] + dist[v] + w) / 2.","August 23, 2026",Medium,https://maang.in/problems/Burn-them-All-618?resourceUrl=pl3594-rs618&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 9, 2026 10:38 PM","  • Used integer division for half-time, turning 2.5 into 2.
  • Defining static values for arrays sizes, not using dynamic values from input",AlgoZenith
Stone Game IV,DP,Winning/Losing State DP → winning state is if for any k { k*k ≤ n } dp[n] = true if dp[n-k^2] = false,"Bottom Up Dp, Game Dp","dp[i] = whether the current player can force a win with i stones. Base: dp[0] = false. Recurrence: dp[i] = true if there exists a square k² <= i such that dp[i-k²] == false; otherwise false. Once one losing state is found, stop checking for that i.","August 17, 2026",Hard,https://leetcode.com/problems/stone-game-iv/submissions/2101829163/?envType=daily-question&envId=2026-08-10,"August 10, 2026 10:13 PM",Used n instead of i inside the inner loop; initially used k² < n instead of k² <= i.,LeetCode Problem Of The Day
Length of Longest Subarray With at Most K Frequency,"Arrays, Two Pointers","Maintain a map of frequencies and then use the form 1 template for two pointers for isValid ","Two Pointers, Two Pointers Form 1",,"August 26, 2026",Medium,https://leetcode.com/problems/length-of-longest-subarray-with-at-most-k-frequency/description/?envType=daily-question&envId=2026-08-12,"August 12, 2026 10:18 PM",Cleared the whole window when invalid instead of removing arr[tail]; missed overlapping valid subarrays.,LeetCode Problem Of The Day
Budget Travelling,Graphs,"cost[city][fuel] = minimum money spent from source to reach city with exactly fuel remaining. From (city,fuel): buy 1 fuel → (city,fuel+1) with +price[city]; drive edge of weight w → (nextCity,fuel-w) with +0, if fuel >= w.","BFS, Dijkstras, Single Source Shortest Path (SSSP)","Graph → State (city, fuel) → Dijkstra","August 22, 2026",Hard,https://maang.in/problems/Budget-Travelling-615?resourceUrl=pl3597-rs615&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 15, 2026 2:23 PM","In Java, shadowed the cost[][] array with local long cost; allocated second dimension using m instead of capacity; used n instead of dest for the final answer.",AlgoZenith
One Peice,Graphs,"use directions array to move into 4 directions, if the direction follows the node wind then wt = 0 otherwise 1","0-1 BFS, BFS",,"August 23, 2026",Hard,https://maang.in/problems/One-Piece-902?resourceUrl=pl3553-rs902&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 15, 2026 3:35 PM","Grid Helper was using 0 based indexing, so colliding on the last cell ",AlgoZenith
Bellman Ford Revisited,Graphs,Negate all the edges to make the question minimum path finding,"BFS, Bellman Ford, Single Source Shortest Path (SSSP)",,"August 20, 2026",Medium,https://maang.in/problems/BellmanFord-Revisited-209?resourceUrl=pl3595-rs209&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 15, 2026 7:35 PM",,AlgoZenith
Snakes & Ladder,Graphs,"  • Maintain a nextNode array to jump cells
  • the movement can be from 1 to 6
",BFS,,"August 25, 2026",Medium,https://maang.in/problems/Snakes-and-Ladders-927?resourceUrl=pl3598-rs927&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 16, 2026 5:50 PM",Initially only printed when 100 was popped; failed to output -1 when unreachable. Also used 0 as a sentinel for missing snake/ladder instead of initializing nextNode[i] = i.,AlgoZenith
Shortest Path II,Graphs,Direct Floyd Warshall,"BFS, Floyd Warshall",,"August 30, 2026",Medium,https://maang.in/problems/Shortest-Path-II-208?resourceUrl=pl3596-rs208&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 16, 2026 6:08 PM",,AlgoZenith
Jump Game,Graphs,"Model adjacent positions as bidirectional edges of cost b. For every distinct value, create one virtual node: index → virtual costs 0, virtual → index costs a, allowing jumps between equal-valued indices in O(1) graph structure instead of quadratic edges.","BFS, Dijkstras, Super Node","Java note: map.computeIfAbsent(x, k -> new ArrayList<>()).add(i) replaces the verbose containsKey/put/get pattern and creates the list only when the key is absent.","August 27, 2026",Hard,https://maang.in/problems/Jump-Game-897?resourceUrl=pl3599-rs897&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 20, 2026 10:11 AM"," dist/vis size, missing INF initialization, int overflow risk, unnecessary Dijkstra parameter.",AlgoZenith
All Pairs Shortest Path,Graphs,"Relax the nodes in the reverse order of the removed nodes , then after each main iteration calculate the sum of shortest distances of all pairs",Floyd Warshall,"Floyd–Warshall gradually allows vertices as intermediate nodes. For each newly added k, compare direct i→j with i→k→j. Since vertices are deleted, process the order in reverse so the graph is built back. After adding k, relax all pairs, then sum distances only among active vertices","September 2, 2026",Medium,https://maang.in/problems/All-Pairs-Shortest-Path-431?resourceUrl=pl3596-rs431&returnUrl=%5B%22/cohorts/AZ-Premium-Cohort-14-70?tab%3Dassignments%22%5D,"August 21, 2026 10:00 AM",,AlgoZenith
